dataset,method,model,imputation,base_model,F1,missing_perc
USPS,mcar,F-Act,,F-Act,0.05651115046424737,95.0
USPS,mcar,F-Act,,F-Act,0.02825308854660868,98.0
USPS,mnar,F-Act,,F-Act,0.9553294132119031,0.0
USPS,mnar,F-Act,,F-Act,0.952552439409972,10.0
USPS,mnar,F-Act,,F-Act,0.9553609000613345,20.0
USPS,mnar,F-Act,,F-Act,0.952514984640281,30.000000000000004
USPS,mnar,F-Act,,F-Act,0.9554116477864335,40.0
USPS,mnar,F-Act,,F-Act,0.9571228284863713,50.0
USPS,mnar,F-Act,,F-Act,0.9593024944918179,60.00000000000001
USPS,mnar,F-Act,,F-Act,0.9576337721773405,70.0
USPS,mnar,F-Act,,F-Act,0.9231438437565159,80.0
USPS,mnar,F-Act,,F-Act,0.7532521357435206,90.0
finance,mcar,F-Act,,F-Act,0.5710270660931631,0.0
finance,mcar,F-Act,,F-Act,0.5531562538499593,20.0
finance,mcar,F-Act,,F-Act,0.5728070088435571,40.0
finance,mcar,F-Act,,F-Act,0.5907253189480473,50.0
finance,mcar,F-Act,,F-Act,0.5633578431372549,60.0
finance,mcar,F-Act,,F-Act,0.575098853944971,70.0
finance,mcar,F-Act,,F-Act,0.5400708690929674,80.0
finance,mcar,F-Act,,F-Act,0.5326777717134203,90.0
finance,mcar,F-Act,,F-Act,0.4730084528688525,95.0
finance,mcar,F-Act,,F-Act,0.4558981028151775,98.0
finance,mnar,F-Act,,F-Act,0.5798973047140912,0.0
finance,mnar,F-Act,,F-Act,0.5933317201732689,10.0
finance,mnar,F-Act,,F-Act,0.589051852640545,20.0
finance,mnar,F-Act,,F-Act,0.586480617395994,30.000000000000004
finance,mnar,F-Act,,F-Act,0.5777069014952916,40.0
finance,mnar,F-Act,,F-Act,0.550166872939663,50.0
finance,mnar,F-Act,,F-Act,0.5774413408756192,60.00000000000001
finance,mnar,F-Act,,F-Act,0.4916475804578252,70.0
finance,mnar,F-Act,,F-Act,0.48827184479429586,80.0
finance,mnar,F-Act,,F-Act,0.5388590363345487,90.0
finance,mcar,F-Act,,F-Act,0.6228157625513332,0.0
finance,mcar,F-Act,,F-Act,0.6002327750712173,20.0
finance,mcar,F-Act,,F-Act,0.5934114949002423,40.0
finance,mcar,F-Act,,F-Act,0.5786318545107607,50.0
finance,mcar,F-Act,,F-Act,0.5471416237811484,60.0
finance,mcar,F-Act,,F-Act,0.5472506009615384,70.0
finance,mcar,F-Act,,F-Act,0.5126178136750446,80.0
finance,mcar,F-Act,,F-Act,0.4866932536313904,90.0
finance,mcar,F-Act,,F-Act,0.45151755981991554,95.0
finance,mcar,F-Act,,F-Act,0.4370229457218244,98.0
finance,mnar,F-Act,,F-Act,0.6187813831845324,0.0
finance,mnar,F-Act,,F-Act,0.5996880514500487,10.0
finance,mnar,F-Act,,F-Act,0.5808703910068005,20.0
finance,mnar,F-Act,,F-Act,0.6202933267319043,30.000000000000004
finance,mnar,F-Act,,F-Act,0.5896550640696531,40.0
finance,mnar,F-Act,,F-Act,0.5785264015439129,50.0
finance,mnar,F-Act,,F-Act,0.5488675222689248,60.00000000000001
finance,mnar,F-Act,,F-Act,0.5426983173076922,70.0
finance,mnar,F-Act,,F-Act,0.5442621888977199,80.0
finance,mnar,F-Act,,F-Act,0.41470004857512954,90.0
madelon,mcar,F-Act,,F-Act,0.7402095994567354,0.0
madelon,mcar,F-Act,,F-Act,0.6792911160339165,20.0
madelon,mcar,F-Act,,F-Act,0.6086524497439425,40.0
madelon,mcar,F-Act,,F-Act,0.596362560001378,50.0
madelon,mcar,F-Act,,F-Act,0.5784333775312711,60.0
madelon,mcar,F-Act,,F-Act,0.5523750429511094,70.0
madelon,mcar,F-Act,,F-Act,0.5149302270577105,80.0
madelon,mcar,F-Act,,F-Act,0.44153188961988304,90.0
madelon,mcar,F-Act,,F-Act,0.40654856411891943,95.0
madelon,mcar,F-Act,,F-Act,0.3959462624867702,98.0
madelon,mnar,F-Act,,F-Act,0.7363069986550679,0.0
madelon,mnar,F-Act,,F-Act,0.7402254563488277,20.0
madelon,mnar,F-Act,,F-Act,0.7324188127996933,40.0
madelon,mnar,F-Act,,F-Act,0.736313036135305,50.0
madelon,mnar,F-Act,,F-Act,0.7362929144251131,60.0
madelon,mnar,F-Act,,F-Act,0.7363251075033475,70.0
madelon,mnar,F-Act,,F-Act,0.736323095378435,80.0
madelon,mnar,F-Act,,F-Act,0.73046875,90.0
madelon,mnar,F-Act,,F-Act,0.7324208542665644,95.0
madelon,mnar,F-Act,,F-Act,0.5819355714056801,98.0
madelon,mcar,F-Act,,F-Act,0.7191567327375173,0.0
madelon,mcar,F-Act,,F-Act,0.6562214979718941,20.0
madelon,mcar,F-Act,,F-Act,0.5845140239399573,40.0
madelon,mcar,F-Act,,F-Act,0.5593508824645749,50.0
madelon,mcar,F-Act,,F-Act,0.5333899370571862,60.0
madelon,mcar,F-Act,,F-Act,0.5187109544327067,70.0
madelon,mcar,F-Act,,F-Act,0.4673162744780508,80.0
madelon,mcar,F-Act,,F-Act,0.45587894426100456,90.0
madelon,mcar,F-Act,,F-Act,0.38693576089728565,95.0
madelon,mcar,F-Act,,F-Act,0.3833801686069852,98.0
madelon,mnar,F-Act,,F-Act,0.7193918419126242,0.0
madelon,mnar,F-Act,,F-Act,0.715472284336634,20.0
madelon,mnar,F-Act,,F-Act,0.7150658537668799,40.0
madelon,mnar,F-Act,,F-Act,0.7231670302985538,50.0
madelon,mnar,F-Act,,F-Act,0.715310133256639,60.0
madelon,mnar,F-Act,,F-Act,0.7212832821815562,70.0
madelon,mnar,F-Act,,F-Act,0.7232417942910554,80.0
madelon,mnar,F-Act,,F-Act,0.715310133256639,90.0
madelon,mnar,F-Act,,F-Act,0.7293451351211551,95.0
madelon,mnar,F-Act,,F-Act,0.613996012292243,98.0
mice_protein,mcar,F-Act,,F-Act,0.9396983865908306,0.0
mice_protein,mcar,F-Act,,F-Act,0.7628258601239236,20.0
mice_protein,mcar,F-Act,,F-Act,0.5479542382576227,40.0
